YearMonth,SpotPriceEUR,DaysInMonth
2021-01-01,50.2051075672043,31
2021-02-01,47.261503058035714,28
2021-03-01,45.07786058841749,31
2021-04-01,47.967111162500004,30
2021-05-01,54.30756716532258,31
2021-06-01,73.71981937222222,30
2021-07-01,79.9992473844086,31
2021-08-01,82.78876338978495,31
2021-09-01,125.36376375972222,30
2021-10-01,116.98498449741935,31
2021-11-01,141.7975829902778,30
2021-12-01,189.34932776209678,31
2022-01-01,117.99465040725806,31
2022-02-01,113.12074399107144,28
2022-03-01,235.71076764843386,31
2022-04-01,163.63747225,30
2022-05-01,171.85803751209676,31
2022-06-01,214.4302496986111,30
2022-07-01,275.03817190053763,31
2022-08-01,456.75034992204303,31
2022-09-01,342.81965298055553,30
2022-10-01,137.05973842817204,31
2022-11-01,139.7042083111111,30
2022-12-01,249.6656182486559,31
2023-01-01,112.54184151612903,31
2023-02-01,118.13613081845237,28
2023-03-01,98.91490938540205,31
2023-04-01,96.27097232777778,30
2023-05-01,73.96577961424731,31
2023-06-01,92.49543057638888,30
2023-07-01,64.81130381048386,31
2023-08-01,85.96711016129032,31
2023-09-01,84.73944431805556,30
2023-10-01,59.99405384919355,31
2023-11-01,88.15456943333334,30
2023-12-01,69.48251339784946,31
2024-01-01,74.71493282123656,31
2024-02-01,58.63393675431035,29
2024-03-01,61.236689355423096,31
2024-04-01,59.16479167222222,30
2024-05-01,58.51685473924731,31
2024-06-01,63.75304166388889,30
2024-07-01,62.030349450268815,31
2024-08-01,72.95380367741936,31
2024-09-01,71.71358333888888,30
2024-10-01,76.71603399709677,31
2024-11-01,95.90459716527779,30
2024-12-01,91.83743270161291,31
2025-01-01,97.96596772849462,31
2025-02-01,112.84796125148809,28
2025-03-01,84.19558740655681,31
2025-04-01,75.16047210694445,30
2025-05-01,64.23341408198925,31
2025-06-01,58.78462508194445,30
2025-07-01,82.80192210887097,31
2025-08-01,73.47376332526882,31
2025-09-01,72.39868052499999,30
2025-10-01,78.30697726373656,31
2025-11-01,92.8733923204861,30
2025-12-01,82.43746636626344,31
2026-01-01,105.57977487231182,31
2026-02-01,96.10872766257441,28
2026-03-01,97.47297404204652,31
2026-04-01,83.1639860513889,30
2026-05-01,99.97445235282258,31
2026-06-01,110.24380192708334,4
