Date,SpotPriceEUR,SpotPriceDKK,HoursAvailable,LogSpotPriceEUR
2021-01-01,48.398333625,360.132082625,24,3.879465383894349
2021-01-02,50.56250008333333,376.2354164583333,24,3.9232101964668358
2021-01-03,28.446666583333336,211.67125,24,3.3480309861622857
2021-01-04,42.173750041666665,313.81500129166665,24,3.7417979905694008
2021-01-05,47.28041629166666,351.67125074999996,24,3.8560961778743654
2021-01-06,41.06041675,305.4079195,24,3.7150445613200875
2021-01-07,67.68708395833333,503.47791545833337,24,4.214895378235702
2021-01-08,76.88416675,571.97958125,24,4.34229996129431
2021-01-09,58.271249375,433.3975017083333,24,4.065108822061216
2021-01-10,43.36041658333334,322.475001625,24,3.769546964634439
2021-01-11,41.77291666666667,310.66874766666666,24,3.7322482029007675
2021-01-12,43.86958308333333,326.2712466666667,24,3.7812212116757804
2021-01-13,42.09708308333333,313.14375054166663,24,3.739978452856477
2021-01-14,70.41166641666666,523.8345832916667,24,4.254358965580426
2021-01-15,72.89125004166667,542.23125325,24,4.288968604947529
2021-01-16,55.042916958333336,409.46499758333334,24,4.008113189283536
2021-01-17,52.996667333333335,394.26374954166664,24,3.9702290310719155
2021-01-18,54.70166658333333,406.94749962500003,24,4.001894176666425
2021-01-19,45.205416750000005,336.29624870833334,24,3.8112169192597642
2021-01-20,34.94374991666667,259.9533349166667,24,3.5537396234080334
2021-01-21,28.136249916666667,209.26250091666668,24,3.337058777584133
2021-01-22,29.591249791666666,220.1591635,24,3.387478702480848
2021-01-23,49.297500291666665,366.8075002083333,24,3.8978733757401636
2021-01-24,49.16750016666666,365.7899982916667,24,3.8952328395104447
2021-01-25,60.491666458333334,450.041252125,24,4.1025056110587945
2021-01-26,61.108751041666665,454.6420746666667,24,4.112655080826371
2021-01-27,57.8112505,430.0925052083333,24,4.057183402066108
2021-01-28,55.98166654166667,416.4191653333333,24,4.025024253949051
2021-01-29,49.810416374999996,370.4308344583333,24,3.9082241263154613
2021-01-30,48.67000008333333,361.957917625,24,3.8850628255575743
2021-01-31,48.23416654166667,358.74124908333334,24,3.876067619353643
2021-02-01,57.511666999999996,427.74250041666664,24,4.051987831568828
2021-02-02,54.633333125,406.346665625,24,4.000644193268373
2021-02-03,44.52625016666667,331.14249924999996,24,3.7960789066404304
2021-02-04,52.041249875000005,387.0575026666667,24,3.952036670938516
2021-02-05,51.38666679166667,382.15250012499996,24,3.939378737870539
2021-02-06,36.38166708333333,270.537917125,24,3.5940649962108706
2021-02-07,19.70999966666667,146.55874908333334,24,2.98112610425274
2021-02-08,43.09125025,320.4175031666667,24,3.763319966059458
2021-02-09,63.924167000000004,475.3466682916667,24,4.1576974901967665
2021-02-10,72.153333625,536.5683352083333,24,4.278793488241208
2021-02-11,79.29708325,589.7724965,24,4.373201346753764
2021-02-12,62.465833333333336,464.62791825,24,4.134619740598988
2021-02-13,53.216249874999995,395.7808342083333,24,3.9743637984858133
2021-02-14,45.88916666666666,341.2779135,24,3.8262290688752576
2021-02-15,50.400000166666665,374.82416708333335,24,3.919991178384201
2021-02-16,52.281666458333326,388.80791345833336,24,3.956645763885596
2021-02-17,49.665416791666665,369.3520838333333,24,3.9053088516922423
2021-02-18,45.399583,337.60916525,24,3.815502919983093
2021-02-19,47.70041654166667,354.71541608333337,24,3.864940130385867
2021-02-20,34.047083375,253.18458495833332,24,3.527744371804861
2021-02-21,32.92250020833333,244.82791979166666,24,3.4941563209302307
2021-02-22,49.48375041666667,367.98541658333335,24,3.901644341270031
2021-02-23,44.46208370833333,330.637500875,24,3.7946367744718636
2021-02-24,31.353750166666668,233.15708158333334,24,3.4453338824659254
2021-02-25,33.15708333333333,246.54875120833333,24,3.5012563690202496
2021-02-26,30.266249916666666,225.05708504166668,24,3.410033227571213
2021-02-27,44.93541675,334.1308339583333,24,3.805226275574951
2021-02-28,41.019167083333336,305.01083370833334,24,3.7140394473023766
2021-03-01,49.17708270833333,365.6716652083333,24,3.8954277163692788
2021-03-02,53.499166833333334,397.808745,24,3.9796660805719744
2021-03-03,51.61125058333334,383.77083475,24,3.9437396832821605
2021-03-04,53.43999970833334,397.3954150833333,24,3.978559523770556
2021-03-05,53.60333358333333,398.56833520833334,24,3.9816112598617126
2021-03-06,34.80208329166667,258.783751,24,3.549677249691674
2021-03-07,39.77000025,295.725417375,24,3.683112865505745
2021-03-08,61.606666749999995,458.1008326666667,24,4.120770091144452
2021-03-09,60.91583375,452.969997375,24,4.109493136817686
2021-03-10,47.34250054166666,352.03750033333336,24,3.857408423596369
2021-03-11,24.981666416666666,185.77041562500003,24,3.2181422125071104
2021-03-12,22.286250374999998,165.72874995833334,24,3.1039699131933616
2021-03-13,16.010416833333334,119.06833275000001,24,2.773239562480649
2021-03-14,19.41624979166667,144.381252,24,2.966110333590136
2021-03-15,48.15875004166667,358.11375033333337,24,3.8745028463794173
2021-03-16,55.91458325,415.791666625,24,4.02382522717508
2021-03-17,57.64499995833334,428.630418125,24,4.054303511962102
2021-03-18,64.795416625,481.79958216666665,24,4.171234869760988
2021-03-19,56.388332999999996,419.29333620833336,24,4.032262275403053
2021-03-20,41.99416645833333,312.264584875,24,3.737530714787518
2021-03-21,31.884166458333336,237.087082875,24,3.4621095373001776
2021-03-22,58.614166708333336,435.84916683333336,24,4.070976420067425
2021-03-23,59.821250125,444.81916437499996,24,4.0913609510944395
2021-03-24,52.438750166666665,389.92541370833334,24,3.9596458250238826
2021-03-25,56.730000125000004,421.8325005,24,4.0383031735418955
